Time,Cells
1,6.44306
4,10.6956
9,8.47366
12,12.73476
13,21.31409
15,19.13784
17,14.81105
19,16.93303
22,21.18557
24,23.31041
26,34.03171
30,38.28139
32,46.85215
33,46.83216
35,59.71257
38,57.5249
40,57.49349
42,66.06425
44,68.18909
46,72.4559
48,72.42449
51,96.04049
52,121.82987
54,134.70457
56,147.58214
59,134.64175
60,171.18385
61,169.01332
68,244.19096
69,291.48578
70,319.4343
71,351.66675
73,422.61755
75,497.85803
76,575.26044
78,595.66208
80,622.50671
81,697.76434
84,710.62762
85,725.66431
86,762.20929
88,772.93341
91,798.70569
92,818.03485
94,800.80194
97,811.52325
99,824.39508
101,865.21832
102,852.30078
103,871.64136
105,875.92249
106,882.35126
109,897.37079
110,903.79956
113,899.46423
114,918.80481
116,901.56622
121,905.80164
125,912.18469
