SampleID,LakeID,FrogPopulationType,Actual fish status,Lake Area,Lake Perimeter,Elevation,North UTM,Jurisdiction,Taxon,LifeStage,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1107,10090,Extant,No,716908,6596,3483,4109458.513,KINGS_CANYON,Acari,,1.2,1.4,1.5,1.4,1.4,1.4,,,,,,,,,,,,,,
1107,10090,Extant,No,716908,6596,3483,4109458.513,KINGS_CANYON,Chironomidae,,7.3,11.5,7.3,11.3,2.2,7.4,5,7.2,5.5,8.3,7.3,4.3,4.4,5.3,4.7,5.8,3,6.9,3.8,5.2
1107,10090,Extant,No,716908,6596,3483,4109458.513,KINGS_CANYON,Desmona,,8.8,14.1,,,,,,,,,,,,,,,,,,
1107,10090,Extant,No,716908,6596,3483,4109458.513,KINGS_CANYON,Hesperophylax,,17.5,,,,,,,,,,,,,,,,,,,
1107,10090,Extant,No,716908,6596,3483,4109458.513,KINGS_CANYON,Hydroporus,,0.9,,,,,,,,,,,,,,,,,,,
1107,10090,Extant,No,716908,6596,3483,4109458.513,KINGS_CANYON,Oligochaeta,,7.2,8.5,7.4,6.6,9.1,13.8,8.4,4.3,9.6,8.3,8.8,9.5,,,,,,,,
1107,10090,Extant,No,716908,6596,3483,4109458.513,KINGS_CANYON,Pisidium casertanum,,2.3,3.5,,,,,,,,,,,,,,,,,,
1107,10090,Extant,No,716908,6596,3483,4109458.513,KINGS_CANYON,Plecoptera,,2.8,3.4,,,,,,,,,,,,,,,,,,
1107,10090,Extant,No,716908,6596,3483,4109458.513,KINGS_CANYON,Polycentropus,,3.7,15.3,,,,,,,,,,,,,,,,,,
1107,10090,Extant,No,716908,6596,3483,4109458.513,KINGS_CANYON,Sialis,,8,3.7,5.9,4.3,,,,,,,,,,,,,,,,
1107,10090,Extant,No,716908,6596,3483,4109458.513,KINGS_CANYON,Stictotarsus,Larvae/Nymph,2.4,3.5,2.8,4.7,,,,,,,,,,,,,,,,
1108,72996,Persistent,No,4288,270,3176,4204959.85,YOSEMITE,Acari,,1,1.2,0.8,0.9,1,1,1,1,0.8,1,0.6,1,1,0.9,0.9,1,0.9,0.7,0.9,1.1
1108,72996,Persistent,No,4288,270,3176,4204959.85,YOSEMITE,Callibaetis ferrugineus,,5.4,4.5,7.3,4.5,6.1,5.2,8.3,8.2,7.8,4.4,5.9,5,4.5,7.4,8.6,4.3,8.1,5.5,6.1,7.1
1108,72996,Persistent,No,4288,270,3176,4204959.85,YOSEMITE,Chironomidae,,1.9,4.4,5,6.5,5.8,5.8,5.5,9.5,3.7,4.2,4.9,5.9,5.4,2.5,3.2,4.6,5.7,1.8,3.5,5.9
1108,72996,Persistent,No,4288,270,3176,4204959.85,YOSEMITE,Corixidae,,1.5,2.1,2.3,2.3,1.5,2.3,1.4,2.3,2.2,2.3,1.4,1.6,1.4,2.3,1.5,1.5,1.4,1.5,2.2,1.4
1108,72996,Persistent,No,4288,270,3176,4204959.85,YOSEMITE,Pisidium casertanum,,4.5,3.2,4,5,5,4.4,4.8,2.3,3.9,3.8,3.6,4,4.2,4.1,4.4,4.6,4.1,4,3,3.1
1108,72996,Persistent,No,4288,270,3176,4204959.85,YOSEMITE,Stictotarsus,Larvae/Nymph,1.3,,,,,,,,,,,,,,,,,,,
1109,70550,Reintroduced,No,47097,835,3200,4200563.803,YOSEMITE,Acari,,1.6,1.5,,,,,,,,,,,,,,,,,,
1109,70550,Reintroduced,No,47097,835,3200,4200563.803,YOSEMITE,Ameletus,,12,13.4,5.1,,,,,,,,,,,,,,,,,
1109,70550,Reintroduced,No,47097,835,3200,4200563.803,YOSEMITE,Callibaetis ferrugineus,,7.6,10.1,9.4,11.4,10.5,9.7,7.3,10.9,10.6,9.2,8.5,10,9.9,9,11.3,9.7,9.7,9.7,10,9
1109,70550,Reintroduced,No,47097,835,3200,4200563.803,YOSEMITE,Chironimidae,,4.8,,,,,,,,,,,,,,,,,,,
1109,70550,Reintroduced,No,47097,835,3200,4200563.803,YOSEMITE,Chironomidae,,8.1,7.75,6.05,7.35,7.2,8,8.4,5.1,8,7.55,7.25,7.05,4.65,10.9,6.2,5.2,6.2,3.9,6,6.9
1109,70550,Reintroduced,No,47097,835,3200,4200563.803,YOSEMITE,Limnephilus,,13.6,9.2,17.6,19.3,,,,,,,,,,,,,,,,
1109,70550,Reintroduced,No,47097,835,3200,4200563.803,YOSEMITE,Pisidium casertanum,,3.6,3.5,2.3,4.1,3.4,3.7,1.9,3.2,3.7,4,4.6,4.2,3.8,4.4,4.8,4,3.9,3.7,3,3.2
1109,70550,Reintroduced,No,47097,835,3200,4200563.803,YOSEMITE,Sialis,,16.1,9.9,12.7,11,4.6,4.3,3.1,9.4,6.3,3.7,3.4,3.3,2.8,4.4,2.4,8.3,5.6,3.6,4.7,3.4
1109,70550,Reintroduced,No,47097,835,3200,4200563.803,YOSEMITE,Stictotarsus,Adult,3.5,3.6,3.7,3.8,3.9,3.9,3.6,3.7,3.7,,,,,,,,,,,
