Sample ID,LabDate,LakeID,Taxon,LifeStage,SpecimenNumber,Length,Comments,
902,4/10/2013 0:00,70550,Acari,,1,0.8,,
902,4/10/2013 0:00,70550,Acari,,2,1.1,,
902,4/10/2013 0:00,70550,Acari,,3,1.4,,
902,4/10/2013 0:00,70550,Acari,,4,1.4,,
902,4/10/2013 0:00,70550,Acari,,5,0.9,,
902,4/10/2013 0:00,70550,Acari,,6,0.8,,
902,4/10/2013 0:00,70550,Acari,,7,1.2,,
902,4/10/2013 0:00,70550,Acari,,8,1,,
902,4/10/2013 0:00,70550,Acari,,9,0.9,,
902,4/10/2013 0:00,70550,Acari,,10,1.2,,
902,4/10/2013 0:00,70550,Acari,,11,1,,
902,4/10/2013 0:00,70550,Callibaetis ferrugineus,,1,5.7,,
902,4/10/2013 0:00,70550,Callibaetis ferrugineus,,2,5.1,,
902,4/10/2013 0:00,70550,Callibaetis ferrugineus,,3,6.2,,
902,4/10/2013 0:00,70550,Callibaetis ferrugineus,,4,4.5,,
902,4/10/2013 0:00,70550,Callibaetis ferrugineus,,5,6.2,,
902,4/10/2013 0:00,70550,Callibaetis ferrugineus,,6,5.2,,
902,4/10/2013 0:00,70550,Callibaetis ferrugineus,,7,5.9,,
902,4/10/2013 0:00,70550,Callibaetis ferrugineus,,8,5.3,,
902,4/10/2013 0:00,70550,Corixidae,,1,3.1,,
902,4/10/2013 0:00,70550,Corixidae,,2,2.9,,
902,4/10/2013 0:00,70550,Ecclisomyia,,1,15.2,,
902,4/10/2013 0:00,70550,Ecclisomyia,,2,16.7,,
902,4/10/2013 0:00,70550,Ecclisomyia,,3,6.9,,
902,4/10/2013 0:00,70550,Ecclisomyia,,4,14.1,,
902,4/10/2013 0:00,70550,Ecclisomyia,,5,15.8,,
902,4/10/2013 0:00,70550,Pisidium casertanum,,1,4.6,,
902,4/10/2013 0:00,70550,Pisidium casertanum,,2,4.4,,
902,4/10/2013 0:00,70550,Pisidium casertanum,,3,4.6,,
902,4/10/2013 0:00,70550,Pisidium casertanum,,4,4.7,,
902,4/10/2013 0:00,70550,Pisidium casertanum,,5,4.1,,
902,4/10/2013 0:00,70550,Pisidium casertanum,,6,3.5,,
902,4/12/2013 0:00,70550,Chironomidae,,1,1.5,,
902,4/12/2013 0:00,70550,Chironomidae,,2,2.4,,
902,4/12/2013 0:00,70550,Chironomidae,,3,5.9,,
902,4/12/2013 0:00,70550,Chironomidae,,4,2.1,,
902,4/12/2013 0:00,70550,Chironomidae,,5,1.8,,
902,4/12/2013 0:00,70550,Chironomidae,,6,4.7,,
902,4/12/2013 0:00,70550,Chironomidae,,7,1.5,,
902,4/12/2013 0:00,70550,Chironomidae,,8,1.8,,
902,4/12/2013 0:00,70550,Chironomidae,,9,2.6,,
902,4/12/2013 0:00,70550,Chironomidae,,10,1.7,,
902,4/12/2013 0:00,70550,Chironomidae,,11,5.9,,
902,4/12/2013 0:00,70550,Chironomidae,,12,4.1,,
902,4/12/2013 0:00,70550,Chironomidae,,13,1.4,,
902,4/12/2013 0:00,70550,Chironomidae,,14,2,,
902,4/12/2013 0:00,70550,Chironomidae,,15,2.5,,
902,4/12/2013 0:00,70550,Chironomidae,,16,1.7,,
902,4/12/2013 0:00,70550,Chironomidae,,17,1.5,,
902,4/12/2013 0:00,70550,Chironomidae,,18,3.3,,
902,4/12/2013 0:00,70550,Chironomidae,,19,1.7,,
902,4/12/2013 0:00,70550,Chironomidae,,20,1.7,,
902,4/15/2013 0:00,70550,Sialis,,1,10.2,,
902,4/15/2013 0:00,70550,Sialis,,2,5.2,,
902,4/15/2013 0:00,70550,Sialis,,3,2.2,,
902,4/15/2013 0:00,70550,Sialis,,4,7.7,,
902,4/15/2013 0:00,70550,Sialis,,5,2.1,,
902,4/15/2013 0:00,70550,Sialis,,6,8.3,,
902,4/15/2013 0:00,70550,Sialis,,7,1.8,,
902,4/15/2013 0:00,70550,Sialis,,9,2.8,,
902,4/15/2013 0:00,70550,Sialis,,10,7.7,,
902,4/15/2013 0:00,70550,Sialis,,11,7.4,,
902,4/15/2013 0:00,70550,Sialis,,12,7.9,,
902,4/15/2013 0:00,70550,Sialis,,13,2,,
902,4/15/2013 0:00,70550,Sialis,,14,2.8,,
902,4/15/2013 0:00,70550,Sialis,,15,3.2,,
902,4/15/2013 0:00,70550,Sialis,,16,2.8,,
902,4/15/2013 0:00,70550,Sialis,,17,6.4,,
902,4/15/2013 0:00,70550,Sialis,,18,3,,
902,4/15/2013 0:00,70550,Sialis,,19,7.4,,
902,4/15/2013 0:00,70550,Sialis,,20,4.2,,
903,4/15/2013 0:00,72996,Acari,,1,0.9,,
903,4/15/2013 0:00,72996,Acari,,2,0.9,,
903,4/15/2013 0:00,72996,Acari,,3,1.1,,
903,4/15/2013 0:00,72996,Acari,,4,1,,
903,4/15/2013 0:00,72996,Acari,,5,0.9,,
903,4/15/2013 0:00,72996,Ameletus,,1,3.8,Dessicated sample,
903,4/15/2013 0:00,72996,Ameletus,,2,5.9,Dessicated sample,
903,4/15/2013 0:00,72996,Corixidae,,1,8.1,,
903,4/15/2013 0:00,72996,Corixidae,,2,5.6,,
903,4/15/2013 0:00,72996,Corixidae,,3,5.7,,
903,4/15/2013 0:00,72996,Pisidium casertanum,,1,4.6,,
903,4/15/2013 0:00,72996,Pisidium casertanum,,2,5.3,,
903,4/15/2013 0:00,72996,Pisidium casertanum,,3,4.6,,
903,4/15/2013 0:00,72996,Pisidium casertanum,,4,4.6,,
903,4/15/2013 0:00,72996,Pisidium casertanum,,5,5.2,,
903,4/15/2013 0:00,72996,Pisidium casertanum,,6,4.5,,
903,4/15/2013 0:00,72996,Pisidium casertanum,,7,2.7,,
903,4/15/2013 0:00,72996,Pisidium casertanum,,8,4.9,,
903,4/15/2013 0:00,72996,Pisidium casertanum,,9,5.1,,
903,4/15/2013 0:00,72996,Pisidium casertanum,,10,3.9,,
903,4/15/2013 0:00,72996,Pisidium casertanum,,11,4.8,,
903,4/15/2013 0:00,72996,Pisidium casertanum,,12,4.1,,
903,4/15/2013 0:00,72996,Pisidium casertanum,,13,4,,
903,4/15/2013 0:00,72996,Pisidium casertanum,,14,2.8,,
903,4/15/2013 0:00,72996,Pisidium casertanum,,15,4.9,,
903,4/15/2013 0:00,72996,Pisidium casertanum,,16,4.2,,
903,4/15/2013 0:00,72996,Pisidium casertanum,,17,4.3,,
903,4/15/2013 0:00,72996,Pisidium casertanum,,18,4,,
903,4/15/2013 0:00,72996,Pisidium casertanum,,19,4.8,,
903,4/15/2013 0:00,72996,Pisidium casertanum,,20,4.7,,
903,4/15/2013 0:00,72996,Sialis,,1,11.2,,
903,4/15/2013 0:00,72996,Sialis,,2,8.6,,
903,4/15/2013 0:00,72996,Sialis,,3,3.5,,
903,4/15/2013 0:00,72996,Sialis,,4,12.1,,
903,4/15/2013 0:00,72996,Sialis,,5,9.4,,
903,4/15/2013 0:00,72996,Sialis,,6,12,,
903,4/15/2013 0:00,72996,Sialis,,7,6,,
903,4/15/2013 0:00,72996,Sialis,,8,8.3,,
903,4/15/2013 0:00,72996,Sialis,,9,3.3,,
903,4/15/2013 0:00,72996,Sialis,,10,11.3,,
903,4/15/2013 0:00,72996,Sialis,,11,10.1,,
903,4/15/2013 0:00,72996,Sialis,,12,5.9,,
903,4/15/2013 0:00,72996,Sialis,,13,8.8,,
903,4/15/2013 0:00,72996,Sialis,,14,12.6,,
903,4/15/2013 0:00,72996,Sialis,,15,9.3,,
903,4/15/2013 0:00,72996,Sialis,,16,8.5,,
903,4/15/2013 0:00,72996,Sialis,,17,10.1,,
